placestate	industry	year	growthdeals
Atlanta, GA	Information Technology	2000	32
Plano, TX	Information Technology	2003	2
South San Francisco, CA	Non-High Technology	1989	1
Sandy Springs, GA	Non-High Technology	2006	2
Washington, DC	Information Technology	2000	15
Boca Raton, FL	Information Technology	2018	2
Waltham, MA	Medical/Health/Life Science	2006	5
Tampa, FL	Non-High Technology	2014	1
Milpitas, CA	Information Technology	2005	5
McNair, VA	Information Technology	2001	1
Fort Lauderdale, FL	Information Technology	1995	1
Plymouth, MN	Medical/Health/Life Science	2009	2
Scottsdale, AZ	Non-High Technology	1981	1
Aliso Viejo, CA	Medical/Health/Life Science	2000	1
Seattle, WA	Non-High Technology	2018	5
Oakland, CA	Medical/Health/Life Science	2016	1
Foster City, CA	Non-High Technology	2007	2
Seattle, WA	Medical/Health/Life Science	2006	5
Evanston, IL	Non-High Technology	1996	1
Alexandria, VA	Information Technology	1983	1
Austin, TX	Information Technology	1985	2
Charlottesville, VA	Non-High Technology	2016	1
Addison, TX	Information Technology	2004	1
Rockville, MD	Medical/Health/Life Science	1997	1
New York, NY	Non-High Technology	1984	2
Miami, FL	Information Technology	2013	2
Nashville-Davidson, TN	Medical/Health/Life Science	2019	1
Newton, MA	Non-High Technology	2012	1
Waltham, MA	Medical/Health/Life Science	2017	3
Philadelphia, PA	Medical/Health/Life Science	1982	1
Cary, NC	Information Technology	2002	3
Wilmington, DE	Medical/Health/Life Science	2020	1
Woburn, MA	Information Technology	1999	4
New Orleans, LA	Information Technology	2019	2
El Segundo, CA	Information Technology	2014	3
Framingham, MA	Information Technology	1992	1
Los Angeles, CA	Non-High Technology	2015	8
Colorado Springs, CO	Information Technology	1990	2
Bellevue, WA	Non-High Technology	1999	1
Baltimore, MD	Medical/Health/Life Science	2015	4
Conshohocken, PA	Information Technology	2005	1
Malvern, PA	Information Technology	1994	1
Kirkland, WA	Medical/Health/Life Science	1997	1
Oakland, CA	Information Technology	2001	1
Atlanta, GA	Non-High Technology	2002	1
Santa Clara, CA	Medical/Health/Life Science	1983	2
Framingham, MA	Information Technology	2008	1
Albuquerque, NM	Non-High Technology	2006	1
San Jose, CA	Non-High Technology	1996	3
Dallas, TX	Non-High Technology	1988	3
McNair, VA	Information Technology	2020	1
West Concord, MA	Non-High Technology	2007	1
Dallas, TX	Medical/Health/Life Science	1997	1
Charlotte, NC	Information Technology	2008	1
Omaha, NE	Information Technology	2017	1
Charlotte, NC	Information Technology	2016	1
Memphis, TN	Medical/Health/Life Science	1999	1
Marlborough, MA	Information Technology	1997	3
Milpitas, CA	Information Technology	2018	1
Atlanta, GA	Medical/Health/Life Science	2007	1
Carlsbad, CA	Medical/Health/Life Science	2005	7
Santa Monica, CA	Information Technology	1984	3
Tysons Corner, VA	Information Technology	2006	6
Berkeley, CA	Information Technology	2005	1
Boston, MA	Non-High Technology	2006	1
Rockville, MD	Information Technology	2006	2
Orlando, FL	Non-High Technology	1990	1
Beverly Hills, CA	Non-High Technology	2014	1
Princeton Junction, NJ	Information Technology	2003	1
Denver, CO	Non-High Technology	2004	2
Cambridge, MA	Information Technology	1997	10
Charlotte, NC	Information Technology	2003	1
Dallas, TX	Non-High Technology	2011	1
Sunnyvale, CA	Information Technology	1981	6
Redwood City, CA	Non-High Technology	1990	1
The Woodlands, TX	Medical/Health/Life Science	1985	2
Seattle, WA	Information Technology	1991	1
Oakland, CA	Information Technology	2015	7
Somerville, MA	Information Technology	2005	1
Newton, MA	Non-High Technology	1998	1
Philadelphia, PA	Non-High Technology	1997	3
Boston, MA	Medical/Health/Life Science	2000	4
San Francisco, CA	Information Technology	2019	186
Cambridge, MA	Non-High Technology	2018	7
Sunnyvale, CA	Medical/Health/Life Science	2005	3
Mountain View, CA	Medical/Health/Life Science	1981	1
Stamford, CT	Information Technology	2010	1
Walnut Creek, CA	Information Technology	2017	1
Longmont, CO	Medical/Health/Life Science	2008	1
Kirkland, WA	Medical/Health/Life Science	1994	1
Minnetonka, MN	Non-High Technology	1989	1
Boston, MA	Information Technology	2005	10
Nashville-Davidson, TN	Information Technology	2006	1
Plymouth, MN	Medical/Health/Life Science	2014	1
South San Francisco, CA	Medical/Health/Life Science	2015	14
Austin, TX	Non-High Technology	2007	1
Florence-Graham, CA	Information Technology	2014	5
Carlsbad, CA	Information Technology	2013	2
San Diego, CA	Information Technology	1992	3
Portland, OR	Information Technology	1996	2
Florence-Graham, CA	Information Technology	2019	3
Bethlehem, PA	Medical/Health/Life Science	1999	1
Belmont, CA	Medical/Health/Life Science	2019	1
Boulder, CO	Medical/Health/Life Science	2002	1
Oakland, CA	Non-High Technology	1987	1
Waltham, MA	Information Technology	2007	5
Seattle, WA	Non-High Technology	1995	1
Cupertino, CA	Non-High Technology	2016	1
New Haven, CT	Medical/Health/Life Science	1982	1
San Ramon, CA	Medical/Health/Life Science	2014	1
New Haven, CT	Medical/Health/Life Science	1989	1
Pittsburgh, PA	Medical/Health/Life Science	2017	2
Columbus, OH	Non-High Technology	2020	3
Chesterbrook, PA	Information Technology	2010	1
Irving, TX	Non-High Technology	2008	1
Tysons Corner, VA	Information Technology	2013	3
Santa Barbara, CA	Information Technology	1998	2
Lexington, MA	Information Technology	1991	2
New Orleans, LA	Information Technology	2011	1
Indianapolis city, IN	Non-High Technology	1990	1
Centennial, CO	Information Technology	1984	1
Lincoln, NE	Information Technology	1981	1
El Segundo, CA	Information Technology	2017	2
Fremont, CA	Non-High Technology	1987	1
Atlanta, GA	Non-High Technology	2015	2
Irvine, CA	Non-High Technology	1998	2
Cambridge, MA	Information Technology	1987	4
Seattle, WA	Medical/Health/Life Science	2020	7
Boston, MA	Medical/Health/Life Science	1996	2
King of Prussia, PA	Medical/Health/Life Science	1994	1
Boston, MA	Information Technology	1982	2
Mountain View, CA	Information Technology	1990	5
Los Altos, CA	Information Technology	2011	1
Birmingham, AL	Information Technology	2002	1
Oklahoma City, OK	Information Technology	2001	1
Cary, NC	Information Technology	2001	2
Eden Prairie, MN	Medical/Health/Life Science	1984	2
Louisville, CO	Information Technology	2005	1
Tempe, AZ	Medical/Health/Life Science	2008	1
Hillsboro, OR	Information Technology	2000	3
Washington, DC	Non-High Technology	1998	1
Stamford, CT	Information Technology	2012	2
Beaverton, OR	Information Technology	1990	2
Dallas, TX	Non-High Technology	2001	4
Westport, CT	Information Technology	1988	1
Framingham, MA	Information Technology	2013	1
Bethesda, MD	Information Technology	2000	7
San Antonio, TX	Medical/Health/Life Science	1987	1
San Diego, CA	Non-High Technology	1994	2
Mountain View, CA	Medical/Health/Life Science	2013	1
Reston, VA	Information Technology	1989	1
Detroit, MI	Information Technology	2016	2
Fremont, CA	Information Technology	2002	9
Chesterbrook, PA	Medical/Health/Life Science	2004	1
Eden Prairie, MN	Information Technology	2001	1
Bellevue, WA	Non-High Technology	2013	1
Rockville, MD	Medical/Health/Life Science	2006	4
Plano, TX	Information Technology	2017	1
St. Paul, MN	Medical/Health/Life Science	2003	1
Woburn, MA	Information Technology	1990	2
Santa Clara, CA	Medical/Health/Life Science	2006	3
Baltimore, MD	Information Technology	2003	1
Boulder, CO	Information Technology	1997	2
Seattle, WA	Medical/Health/Life Science	2017	5
Albuquerque, NM	Medical/Health/Life Science	1985	1
Farmers Branch, TX	Non-High Technology	1985	1
Berkeley, CA	Medical/Health/Life Science	2019	1
Atlanta, GA	Information Technology	2006	4
Milpitas, CA	Information Technology	1988	4
San Mateo, CA	Information Technology	2012	14
Kirkland, WA	Information Technology	1991	1
Burlington, MA	Information Technology	1986	1
Albuquerque, NM	Information Technology	2017	3
Houston, TX	Medical/Health/Life Science	1991	2
Franklin, TN	Medical/Health/Life Science	2010	1
Hillsboro, OR	Information Technology	1983	3
Birmingham, AL	Information Technology	2017	1
New York, NY	Information Technology	1994	6
Roswell, GA	Non-High Technology	2000	1
Palo Alto, CA	Information Technology	2009	13
Cleveland, OH	Information Technology	1985	3
South Plainfield, NJ	Non-High Technology	1993	1
Boulder, CO	Non-High Technology	1993	2
Waltham, MA	Information Technology	1997	3
San Rafael, CA	Information Technology	1981	1
Menlo Park, CA	Information Technology	2012	13
Kirkland, WA	Medical/Health/Life Science	2000	1
Kansas City, MO	Non-High Technology	1984	1
Longmont, CO	Information Technology	1999	1
Roswell, GA	Information Technology	2019	2
Waltham, MA	Medical/Health/Life Science	1992	1
San Carlos, CA	Information Technology	2018	2
Bethlehem, PA	Information Technology	2020	1
Champaign, IL	Information Technology	2015	2
Denver, CO	Medical/Health/Life Science	1997	1
Miami, FL	Information Technology	2007	1
Birmingham, AL	Medical/Health/Life Science	1999	2
Minneapolis, MN	Non-High Technology	1996	2
Chicago, IL	Non-High Technology	1987	2
Portland, OR	Non-High Technology	2006	1
Palo Alto, CA	Information Technology	2019	31
San Francisco, CA	Non-High Technology	2005	3
Alexandria, VA	Information Technology	2000	9
Nashville-Davidson, TN	Information Technology	2014	5
Framingham, MA	Information Technology	2001	3
Nashville-Davidson, TN	Medical/Health/Life Science	1996	2
Carlsbad, CA	Medical/Health/Life Science	1996	1
King of Prussia, PA	Medical/Health/Life Science	2016	1
Pittsburgh, PA	Medical/Health/Life Science	2010	1
Fremont, CA	Medical/Health/Life Science	1989	1
Plymouth, MN	Medical/Health/Life Science	1998	1
Newport Beach, CA	Non-High Technology	1996	1
Watertown Town, MA	Information Technology	2003	1
Culver City, CA	Information Technology	2010	1
Boulder, CO	Non-High Technology	2013	1
Berkeley, CA	Non-High Technology	1983	1
Boston, MA	Information Technology	2008	17
Santa Monica, CA	Non-High Technology	2020	1
Atlanta, GA	Information Technology	2008	6
Los Gatos, CA	Non-High Technology	2008	1
Redmond, WA	Medical/Health/Life Science	2002	1
Madison, WI	Information Technology	2013	6
Burlington, MA	Information Technology	2008	3
Pittsburgh, PA	Information Technology	2000	20
Washington, DC	Information Technology	2008	3
Boulder, CO	Information Technology	2010	10
Seattle, WA	Non-High Technology	1993	1
Santa Monica, CA	Non-High Technology	2005	1
Tigard, OR	Information Technology	2016	1
Birmingham, AL	Information Technology	2019	1
Belmont, CA	Information Technology	2003	1
Centennial, CO	Information Technology	2017	1
Overland Park, KS	Information Technology	2003	1
Longmont, CO	Information Technology	2007	1
Cambridge, MA	Medical/Health/Life Science	1989	1
Irvine, CA	Medical/Health/Life Science	2020	3
Detroit, MI	Information Technology	2013	4
Nashville-Davidson, TN	Information Technology	2011	2
Sunnyvale, CA	Medical/Health/Life Science	2000	3
Pittsburgh, PA	Non-High Technology	2000	1
Alameda, CA	Information Technology	2017	2
Nashua, NH	Information Technology	1988	1
Redmond, WA	Non-High Technology	1983	1
Boston, MA	Non-High Technology	2012	2
Pleasanton, CA	Information Technology	1998	5
Florence-Graham, CA	Non-High Technology	1992	1
Franklin, TN	Information Technology	1998	1
Chesterbrook, PA	Medical/Health/Life Science	1988	1
Emeryville, CA	Information Technology	2014	4
Kirkland, WA	Information Technology	1998	3
Centennial, CO	Information Technology	1983	1
Somerville, MA	Non-High Technology	2019	1
Beverly, MA	Medical/Health/Life Science	2017	2
Charlotte, NC	Medical/Health/Life Science	2000	1
Cambridge, MA	Medical/Health/Life Science	2015	16
South San Francisco, CA	Information Technology	2019	2
Plano, TX	Information Technology	2008	1
Marlborough, MA	Information Technology	1995	1
Ann Arbor, MI	Medical/Health/Life Science	2019	1
Belmont, CA	Non-High Technology	2019	1
Ann Arbor, MI	Medical/Health/Life Science	2017	1
Salt Lake City, UT	Non-High Technology	2002	1
Rockville, MD	Information Technology	2003	2
Boca Raton, FL	Information Technology	2013	2
Emeryville, CA	Medical/Health/Life Science	2005	2
Kirkland, WA	Information Technology	2000	7
Nashville-Davidson, TN	Non-High Technology	1983	1
Cary, NC	Medical/Health/Life Science	1995	1
Burlingame, CA	Information Technology	2013	5
Campbell, CA	Medical/Health/Life Science	2019	1
Ann Arbor, MI	Medical/Health/Life Science	2007	3
Louisville, CO	Non-High Technology	2000	1
Durham, NC	Information Technology	2002	1
Cambridge, MA	Non-High Technology	1988	2
Philadelphia, PA	Non-High Technology	2008	2
Redwood City, CA	Information Technology	1993	2
Somerville, MA	Information Technology	1982	1
Palo Alto, CA	Medical/Health/Life Science	2018	3
Mountain View, CA	Information Technology	2019	11
Denver, CO	Information Technology	1996	4
Phoenix, AZ	Medical/Health/Life Science	2016	2
Columbia, MD	Medical/Health/Life Science	2004	1
Scottsdale, AZ	Non-High Technology	1999	1
Cambridge, MA	Medical/Health/Life Science	1994	7
Nashua, NH	Information Technology	2001	2
San Jose, CA	Information Technology	2005	19
Washington, DC	Medical/Health/Life Science	2015	1
Bethlehem, PA	Information Technology	2017	2
Hayward, CA	Medical/Health/Life Science	2013	1
Ann Arbor, MI	Information Technology	2003	1
Waltham, MA	Medical/Health/Life Science	2003	4
Portland, OR	Non-High Technology	1990	1
Orem, UT	Information Technology	2008	2
Santa Clara, CA	Information Technology	2014	15
Hayward, CA	Non-High Technology	1988	1
Cambridge, MA	Medical/Health/Life Science	1982	2
Washington, DC	Information Technology	2001	5
Cambridge, MA	Non-High Technology	1986	2
Cambridge, MA	Information Technology	1989	3
Atlanta, GA	Non-High Technology	2001	1
Beverly, MA	Medical/Health/Life Science	1997	1
Emeryville, CA	Medical/Health/Life Science	1981	1
Palo Alto, CA	Information Technology	1986	1
Sunnyvale, CA	Information Technology	2006	23
Santa Clara, CA	Information Technology	1996	22
Orlando, FL	Information Technology	2000	3
Nashville-Davidson, TN	Medical/Health/Life Science	2001	1
Sunnyvale, CA	Information Technology	1997	14
Watertown Town, MA	Medical/Health/Life Science	2008	2
Bellevue, WA	Non-High Technology	2017	1
Chicago, IL	Medical/Health/Life Science	1999	1
San Antonio, TX	Medical/Health/Life Science	2014	1
Redwood City, CA	Non-High Technology	2010	2
West Concord, MA	Information Technology	1999	1
Philadelphia, PA	Non-High Technology	2018	3
Woburn, MA	Medical/Health/Life Science	2019	2
Costa Mesa, CA	Non-High Technology	2003	1
Boston, MA	Medical/Health/Life Science	2013	3
Cincinnati, OH	Information Technology	1999	2
Fremont, CA	Medical/Health/Life Science	2018	1
Cupertino, CA	Information Technology	2009	1
Mountain View, CA	Medical/Health/Life Science	1988	1
Madison, WI	Medical/Health/Life Science	2018	1
Menlo Park, CA	Medical/Health/Life Science	2001	2
Campbell, CA	Non-High Technology	1983	1
Florence-Graham, CA	Information Technology	2006	1
Ann Arbor, MI	Medical/Health/Life Science	2010	3
Nashville-Davidson, TN	Information Technology	2007	1
Santa Monica, CA	Information Technology	1991	1
Columbia, MD	Non-High Technology	2008	1
Rockville, MD	Medical/Health/Life Science	2004	2
Fremont, CA	Information Technology	2009	1
Redmond, WA	Medical/Health/Life Science	1998	1
Alpharetta, GA	Information Technology	2016	1
Torrance, CA	Information Technology	2009	1
Ann Arbor, MI	Information Technology	1999	4
Lowell, MA	Medical/Health/Life Science	2009	1
Westborough, MA	Information Technology	2003	1
